PLC Tag,Display Name,Area,Equipment,Parameter,Unit,Category,Data Type,Normal Low,Normal High,Warning Low,Warning High,Critical Low,Critical High,Active,Mapping Status
VSD160PP015,VSD160PP015,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP016,VSD160PP016,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP017,VSD160PP017,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP018,VSD160PP018,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP019,VSD160PP019,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP020,VSD160PP020,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP021,VSD160PP021,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD160PP022,VSD160PP022,Area 160,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD170PP002,VSD170PP002,Area 170,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD170PP003,VSD170PP003,Area 170,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD170PP004,VSD170PP004,Area 170,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD170PP005,VSD170PP005,Area 170,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD170PP008,VSD170PP008,Area 170,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD170PP009,VSD170PP009,Area 170,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD210SF001,VSD210SF001,Area 210,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP019,VSD220PP019,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
VSD220PP020,VSD220PP020,Area 220,,,,VSD / Speed,Numeric,,,,,,,True,Needs Review
AIT130SU001PH1,AIT130SU001PH1,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT160TK001PH1,AIT160TK001PH1,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT160TK007PH1,AIT160TK007PH1,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT160TK002DO1,AIT160TK002DO1,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT160TK011PH1,AIT160TK011PH1,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT170TK002DO1,AIT170TK002DO1,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT170TK002PH1,AIT170TK002PH1,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT160AIR01HCN,AIT160AIR01HCN,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT170AIR01HCN,AIT170AIR01HCN,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
AIT210AIR01HCN,AIT210AIR01HCN,Area 210,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT130CY001,DIT130CY001,Area 130,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT160BX001,DIT160BX001,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT160BX003,DIT160BX003,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT160CY001,DIT160CY001,Area 160,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
DIT170BX002,DIT170BX002,Area 170,,,,Process Measurement,Numeric,,,,,,,True,Needs Review
FIT130CY001,FIT130CY001,Area 130,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT130ML01A,FIT130ML01A,Area 130,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT130ML02A,FIT130ML02A,Area 130,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT160BX001,FIT160BX001,Area 160,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT160BX003,FIT160BX003,Area 160,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT160CY001,FIT160CY001,Area 160,,,,Unknown,Numeric,,,,,,,True,Needs Review
FIT170BX002,FIT170BX002,Area 170,,,,Unknown,Numeric,,,,,,,True,Needs Review
